#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,  32,  49,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  50,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  51,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  52,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  53,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  54,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  55,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  56,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  57,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  58,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  59,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  60,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  61,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  32,  62,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  63,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  32,  64,32768, 108
Shared_memory_bank_conflict_test, 512,   1,  64,   1,32768, 113
Shared_memory_bank_conflict_test, 512,   1,  64,   2,32768, 113
Shared_memory_bank_conflict_test, 512,   1,  64,   3,32768, 167
Shared_memory_bank_conflict_test, 512,   1,  64,   4,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,   5,32768, 142
Shared_memory_bank_conflict_test, 512,   1,  64,   6,32768, 142
Shared_memory_bank_conflict_test, 512,   1,  64,   7,32768, 198
Shared_memory_bank_conflict_test, 512,   1,  64,   8,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  64,   9,32768, 173
Shared_memory_bank_conflict_test, 512,   1,  64,  10,32768, 173
Shared_memory_bank_conflict_test, 512,   1,  64,  11,32768, 227
Shared_memory_bank_conflict_test, 512,   1,  64,  12,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  13,32768, 202
Shared_memory_bank_conflict_test, 512,   1,  64,  14,32768, 202
Shared_memory_bank_conflict_test, 512,   1,  64,  15,32768, 258
Shared_memory_bank_conflict_test, 512,   1,  64,  16,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  64,  17,32768, 233
Shared_memory_bank_conflict_test, 512,   1,  64,  18,32768, 233
Shared_memory_bank_conflict_test, 512,   1,  64,  19,32768, 287
Shared_memory_bank_conflict_test, 512,   1,  64,  20,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  21,32768, 262
Shared_memory_bank_conflict_test, 512,   1,  64,  22,32768, 262
Shared_memory_bank_conflict_test, 512,   1,  64,  23,32768, 318
Shared_memory_bank_conflict_test, 512,   1,  64,  24,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  25,32768, 293
Shared_memory_bank_conflict_test, 512,   1,  64,  26,32768, 293
Shared_memory_bank_conflict_test, 512,   1,  64,  27,32768, 347
Shared_memory_bank_conflict_test, 512,   1,  64,  28,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  29,32768, 322
Shared_memory_bank_conflict_test, 512,   1,  64,  30,32768, 322
Shared_memory_bank_conflict_test, 512,   1,  64,  31,32768, 378
Shared_memory_bank_conflict_test, 512,   1,  64,  32,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  64,  33,32768, 408
Shared_memory_bank_conflict_test, 512,   1,  64,  34,32768, 357
Shared_memory_bank_conflict_test, 512,   1,  64,  35,32768, 407
Shared_memory_bank_conflict_test, 512,   1,  64,  36,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  37,32768, 437
Shared_memory_bank_conflict_test, 512,   1,  64,  38,32768, 382
Shared_memory_bank_conflict_test, 512,   1,  64,  39,32768, 438
Shared_memory_bank_conflict_test, 512,   1,  64,  40,32768, 109
Shared_memory_bank_conflict_test, 512,   1,  64,  41,32768, 468
Shared_memory_bank_conflict_test, 512,   1,  64,  42,32768, 413
Shared_memory_bank_conflict_test, 512,   1,  64,  43,32768, 467
Shared_memory_bank_conflict_test, 512,   1,  64,  44,32768, 110
Shared_memory_bank_conflict_test, 512,   1,  64,  45,32768, 497
