#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,161  ,9            ,2   ,20  ,1.1084e-05 ,0.0018044
global-offset,161  ,10           ,2   ,20  ,1.14192e-05,0.00175144
global-offset,241  ,2            ,3   ,20  ,1.11398e-05,0.00269305
global-offset,241  ,3            ,3   ,20  ,1.03227e-05,0.00290622
global-offset,241  ,4            ,3   ,20  ,1.16497e-05,0.00257517
global-offset,241  ,5            ,3   ,20  ,1.03157e-05,0.00290819
global-offset,241  ,6            ,3   ,20  ,1.12237e-05,0.00267292
global-offset,241  ,7            ,3   ,20  ,1.12865e-05,0.00265804
global-offset,241  ,8            ,3   ,20  ,1.25507e-05,0.0023903
global-offset,241  ,9            ,3   ,20  ,1.1503e-05 ,0.00260802
